distancia,rssi,snr
750,-91,4.0
750,-96,-2.2
750,-94,8.2
750,-96,2.2
750,-93,8.2
750,-93,6.5
750,-99,3.2
750,-90,8.2
750,-96,4.5
750,-90,8.2
750,-94,5.2
750,-92,7.8
750,-97,-1.2
750,-97,2.5
750,-93,5.2
750,-96,7.2
750,-91,9.2
750,-95,4.0
750,-97,3.5
750,-94,7.5
750,-95,1.0
750,-93,8.8
750,-91,5.5
750,-93,8.5
750,-96,6.2
750,-95,1.0
750,-95,7.0
750,-99,3.8
750,-98,-1.0
750,-96,4.5
750,-93,8.5
750,-94,4.2
750,-91,8.0
750,-95,8.5
750,-91,6.8
750,-97,3.2
750,-96,0.2
750,-92,6.2
750,-90,2.2
750,-105,-0.5
750,-93,8.8
750,-94,7.8
750,-91,7.5
750,-97,3.2
750,-87,1.5
1100,-95,3.5
1100,-98,5.8
1100,-96,6.5
1100,-94,7.2
1100,-99,0.8
1100,-99,4.0
1100,-96,6.5
1100,-95,5.8
1100,-96,3.5
1100,-95,8.2
1100,-96,2.8
1100,-97,-0.8
1100,-94,6.2
1100,-96,6.0
1100,-97,0.8
1100,-99,3.0
1100,-99,5.2
1100,-95,6.0
1100,-96,3.0
1100,-101,2.5
1100,-96,2.2
1100,-112,-5.5
1100,-96,3.0
1100,-96,5.2
1100,-98,2.2
1100,-97,7.0
1100,-96,2.8
1100,-85,0.5
1100,-96,5.5
1100,-94,2.8
1100,-96,6.8
1100,-95,6.5
1100,-94,6.5
1100,-99,2.8
1100,-95,3.0
1100,-96,6.5
1100,-97,4.8
1100,-94,7.8
1100,-99,1.8
1100,-96,2.2
1100,-97,3.0
1100,-94,1.2
1100,-93,8.8
1260,-97,1.5
1260,-89,3.8
1260,-97,6.8
1260,-99,5.2
1260,-85,10.5
1260,-88,9.2
1260,-87,8.2
1260,-84,8.5
1260,-89,7.5
1260,-86,7.0
1260,-89,8.5
1260,-89,6.8
1260,-90,9.2
1260,-86,7.5
1260,-87,8.2
1260,-85,7.8
1260,-86,5.5
1530,-103,4.2
1530,-95,7.0
1530,-95,4.0
1530,-94,8.5
1530,-92,5.0
1530,-83,6.2
1530,-90,8.8
1530,-90,7.0
1530,-84,8.5
1530,-85,10.0
1530,-87,8.2
1530,-95,8.5
1530,-90,5.8
1530,-87,9.2
1530,-83,7.8
1530,-87,8.5
1530,-85,5.0
1530,-90,8.5
1530,-84,6.0
1530,-83,8.0
1530,-89,7.5
1530,-86,7.2
1760,-99,5.5
1760,-96,4.2
1760,-86,7.5
1760,-82,10.8
1760,-88,9.0
1760,-88,4.8
1760,-89,2.8
1760,-80,8.0
1760,-82,9.0
1760,-87,3.5
1760,-81,9.0
1760,-90,8.0
1760,-90,8.8
1760,-89,7.2
1760,-84,6.5
1760,-85,7.5
1760,-85,8.8
1760,-76,7.0
1760,-77,6.8
1760,-95,8.0
2020,-78,8.5
2020,-79,9.0
2020,-78,8.8
2020,-78,7.5
2020,-80,8.2
2020,-79,8.2
2020,-80,6.0
2020,-79,8.2
2020,-78,8.5
2020,-80,4.5
2020,-78,7.8
2020,-77,9.2
2020,-81,8.5
2020,-84,7.8
2020,-81,9.5
2020,-82,8.2
2020,-78,8.2
2020,-79,8.5
2020,-77,8.5
2020,-79,6.2
2020,-79,7.2
2020,-80,7.5
2020,-78,8.2
2020,-82,7.8
2020,-78,8.8
2020,-79,7.5
2020,-77,9.2
2020,-79,8.0
2020,-79,8.8
2020,-83,7.5
2020,-79,8.8
2020,-80,6.8
2020,-82,6.5
2020,-80,9.8
2020,-80,7.5
2020,-79,9.5
2020,-81,9.5
2020,-81,8.2
2020,-81,7.5
2020,-78,6.8
2500,-94,8.2
2500,-96,7.0
2500,-93,-3.2
2500,-91,7.0
2500,-96,7.5
2500,-95,8.5
2500,-94,4.8
2500,-92,3.5
2500,-89,-5.5
2500,-92,2.5
2500,-89,4.0
2500,-99,6.8
2500,-96,8.0
2500,-97,-0.5
2500,-93,8.2
2500,-96,1.5
2500,-97,4.2
2500,-93,3.8
2500,-97,8.0
2500,-92,4.2
2500,-94,2.8
2500,-94,8.0
2500,-96,6.2
2500,-96,-0.2
2500,-95,5.2
2500,-94,7.0
2500,-99,7.0
2500,-88,3.2
2500,-93,5.2
2500,-96,3.0
2500,-96,4.0
2500,-91,8.0
2500,-93,2.5
2500,-99,6.8
2500,-94,5.2
2500,-95,7.5
2500,-96,4.2
2500,-85,3.0
2500,-91,8.5
3050,-101,7.2
3050,-105,4.2
3050,-95,3.0
3050,-90,-3.8
3050,-103,6.5
3050,-99,1.2
3050,-100,3.8
3050,-99,8.0
3050,-101,1.5
3050,-98,7.0
3050,-103,3.2
3050,-98,-3.0
3050,-101,7.8
3050,-100,3.0
3050,-93,3.0
3050,-98,6.8
3050,-101,-2.2
3050,-101,4.5
3050,-101,2.5
750,-103,-4.2
750,-95,-0.8
750,-111,-0.8
750,-103,4.0
750,-97,0.2
750,-103,2.5
750,-108,0.5
750,-101,-0.8
750,-79,2.5
750,-113,-5.0
750,-106,-5.2
750,-101,3.2
750,-105,0.2
750,-102,4.0
750,-113,-4.8
750,-107,-4.2
750,-107,3.0
750,-109,2.8
750,-102,2.2
750,-106,3.5
750,-107,-2.5
750,-111,0.5
750,-113,-5.8
750,-102,-2.2
750,-102,1.8
750,-102,3.5
750,-101,5.2
750,-102,0.8
750,-103,-1.8
750,-107,-0.2
750,-101,3.8
750,-89,-0.2
750,-113,-2.0
750,-100,6.0
750,-102,0.8
750,-93,0.8
750,-104,-1.5
750,-102,-2.2
750,-107,0.2
750,-103,-1.5
750,-97,2.8
750,-102,4.0
935,-101,3.8
935,-100,6.2
935,-96,5.0
935,-97,1.8
935,-99,5.5
935,-91,4.0
935,-95,5.5
935,-97,5.0
935,-96,-0.2
935,-92,8.5
935,-93,7.8
935,-96,-0.8
935,-93,4.5
935,-99,6.5
935,-106,-0.5
935,-109,-6.8
935,-99,-2.0
935,-100,4.0
935,-98,7.5
935,-95,2.0
935,-101,2.2
935,-107,4.2
935,-113,-5.0
935,-101,5.2
935,-101,4.8
935,-106,0.5
935,-104,3.0
935,-83,1.0
935,-101,1.8
935,-97,6.5
935,-99,5.8
935,-103,1.2
935,-103,-6.2
935,-114,-3.8
935,-117,-11.2
935,-106,-2.0
935,-106,-3.5
935,-109,-1.8
935,-91,4.8
1980,-91,8.5
1980,-93,3.2
1980,-91,4.5
1980,-90,5.8
1980,-88,10.5
1980,-93,4.5
