distancia,rssi,snr
2500,-94,8.2
2500,-96,7.0
2500,-93,-3.2
2500,-91,7.0
2500,-96,7.5
2500,-95,8.5
2500,-94,4.8
2500,-92,3.5
2500,-89,-5.5
2500,-92,2.5
2500,-89,4.0
2500,-99,6.8
2500,-96,8.0
2500,-97,-0.5
2500,-93,8.2
2500,-96,1.5
2500,-97,4.2
2500,-93,3.8
2500,-97,8.0
2500,-92,4.2
2500,-94,2.8
2500,-94,8.0
2500,-96,6.2
2500,-96,-0.2
2500,-95,5.2
2500,-94,7.0
2500,-99,7.0
2500,-88,3.2
2500,-93,5.2
2500,-96,3.0
2500,-96,4.0
2500,-91,8.0
2500,-93,2.5
2500,-99,6.8
2500,-94,5.2
2500,-95,7.5
2500,-96,4.2
2500,-85,3.0
2500,-91,8.5
1980,-91,8.5
1980,-93,3.2
1980,-91,4.5
1980,-90,5.8
1980,-88,10.5
1980,-93,4.5
1980,-89,8.0
1980,-97,-0.2
1980,-88,5.0
1980,-90,7.8
1980,-88,2.2
1980,-91,6.0
1980,-87,7.0
1980,-91,5.5
1980,-89,8.0
1980,-89,6.2
1980,-89,1.5
1980,-91,4.8
1980,-91,7.2
1980,-95,6.2
1980,-94,2.8
1980,-92,5.0
1980,-92,2.8
1980,-91,7.8
1980,-93,4.5
1980,-77,1.0
1980,-96,5.2
1980,-92,7.2
1980,-95,7.2
1980,-95,3.5
1980,-94,4.8
1980,-93,6.0
1980,-90,6.5
1980,-93,3.0
1980,-115,4.5
1980,-90,6.2
1980,-113,4.8
1980,-109,0.8
1260,-97,1.5
1260,-89,3.8
1260,-97,6.8
1260,-99,5.2
1260,-85,10.5
1260,-88,9.2
1260,-87,8.2
1260,-84,8.5
1260,-89,7.5
1260,-86,7.0
1260,-89,8.5
1260,-89,6.8
1260,-90,9.2
1260,-86,7.5
1260,-87,8.2
1260,-85,7.8
1260,-86,5.5
1530,-103,4.2
1530,-95,7.0
1530,-95,4.0
1530,-94,8.5
1530,-92,5.0
1530,-83,6.2
1530,-90,8.8
1530,-90,7.0
1530,-84,8.5
1530,-85,10.0
1530,-87,8.2
1530,-95,8.5
1530,-90,5.8
1530,-87,9.2
1530,-83,7.8
1530,-87,8.5
1530,-85,5.0
1530,-90,8.5
1530,-84,6.0
1530,-83,8.0
1530,-89,7.5
1530,-86,7.2
3050,-101,7.2
3050,-105,4.2
3050,-95,3.0
3050,-90,-3.8
3050,-103,6.5
3050,-99,1.2
3050,-100,3.8
3050,-99,8.0
3050,-101,1.5
3050,-98,7.0
3050,-103,3.2
3050,-98,-3.0
3050,-101,7.8
3050,-100,3.0
3050,-93,3.0
3050,-98,6.8
3050,-101,-2.2
3050,-101,4.5
3050,-101,2.5
3580,-114,1.2
3580,-113,0.5
3580,-113,4.2
3580,-117,-0.5
3580,-109,-4.8
3580,-119,5.0
3580,-115,-4.5
3580,-109,2.5
3580,-113,4.2
3580,-115,2.2
3580,-115,5.0
