distancia,rssi,snr
90.5,-91,6.5
90.5,-100,4.2
90.5,-102,4.2
90.5,-103,6.0
90.5,-95,0.5
90.5,-97,6.8
90.5,-103,4.2
90.5,-106,-0.2
90.5,-84,3.2
90.5,-97,2.2
90.5,-99,7.2
90.5,-98,6.2
90.5,-104,3.0
90.5,-96,5.8
90.5,-97,7.0
90.5,-102,-1.0
90.5,-98,6.2
90.5,-101,4.8
90.5,-97,1.8
56.5,-107,8.0
56.5,-87,9.8
56.5,-89,8.2
56.5,-87,8.5
56.5,-87,5.2
56.5,-93,10.0
56.5,-87,7.8
56.5,-89,6.2
56.5,-84,8.8
56.5,-84,8.0
56.5,-84,8.8
56.5,-107,5.5
56.5,-85,8.0
56.5,-103,9.2
56.5,-89,5.0
56.5,-113,9.0
56.5,-113,7.0
56.5,-85,9.2
56.5,-89,8.0
56.5,-88,5.0
56.5,-86,7.5
56.5,-101,6.0
56.5,-85,7.0
56.5,-107,8.2
56.5,-86,8.5
56.5,-94,7.5
56.5,-90,8.8
56.5,-89,9.0
56.5,-88,5.5
56.5,-93,6.5
56.5,-91,7.5
56.5,-93,6.8
56.5,-91,6.0
56.5,-103,8.5
56.5,-113,7.8
56.5,-88,6.5
56.5,-87,5.2
56.5,-109,6.8
56.5,-89,7.2
56.5,-107,9.5
56.5,-84,7.8
86,-87,9.2
86,-88,8.8
86,-86,7.0
86,-90,6.2
86,-97,4.8
86,-94,8.5
86,-87,5.0
86,-94,2.8
86,-89,5.0
86,-89,7.2
86,-90,6.5
86,-97,3.2
86,-90,8.8
86,-96,4.8
86,-94,2.8
86,-94,7.8
86,-92,6.2
86,-85,8.0
86,-76,3.0
86,-90,7.8
86,-87,7.5
90.5,-88,6.8
90.5,-89,6.2
90.5,-90,7.5
90.5,-87,8.2
90.5,-88,8.0
90.5,-90,5.8
90.5,-91,7.8
90.5,-89,6.2
90.5,-89,3.0
90.5,-91,6.2
90.5,-90,9.2
90.5,-93,8.2
90.5,-89,9.0
90.5,-89,9.0
90.5,-87,5.5
90.5,-90,8.2
90.5,-89,6.2
90.5,-91,2.5
90.5,-91,7.2
90.5,-90,6.5
90.5,-89,1.2
90.5,-88,7.5
86,-79,6.2
86,-78,9.5
86,-77,8.0
86,-78,8.5
86,-79,7.5
86,-78,6.8
86,-77,8.8
86,-77,8.8
86,-78,8.5
86,-79,6.5
86,-77,8.8
86,-77,7.0
86,-77,9.0
86,-77,9.2
86,-78,7.2
86,-79,8.0
86,-77,8.8
86,-79,7.5
86,-78,7.0
86,-78,8.2
86,-77,9.2
86,-77,6.8
86,-103,-2.5
86,-105,4.5
86,-102,-4.0
86,-108,4.0
86,-109,-2.0
86,-104,3.2
86,-106,1.2
86,-103,2.8
86,-91,-2.0
86,-99,0.2
86,-105,3.0
86,-109,-2.0
86,-107,-6.0
111,-101,7.0
111,-97,4.2
111,-98,3.5
111,-95,7.5
111,-99,-3.5
111,-97,4.0
111,-100,7.2
111,-97,0.2
111,-97,5.0
111,-96,5.8
111,-101,-2.8
111,-107,0.2
111,-107,0.2
111,-105,4.2
111,-103,1.8
90.5,-87,9.8
90.5,-89,8.5
90.5,-84,10.2
90.5,-91,8.0
90.5,-97,8.2
90.5,-97,7.0
90.5,-82,9.2
90.5,-84,10.0
90.5,-113,8.0
90.5,-95,-1.5
90.5,-91,4.5
90.5,-103,9.0
90.5,-87,6.5
90.5,-107,9.2
90.5,-88,6.0
90.5,-107,8.8
90.5,-87,8.8
90.5,-91,2.0
90.5,-89,7.8
90.5,-96,6.5
90.5,-95,7.2
90.5,-85,5.8
90.5,-93,9.5
90.5,-89,6.8
90.5,-86,9.0
90.5,-93,6.8
90.5,-87,6.0
90.5,-101,7.0
90.5,-85,8.2
90.5,-89,8.5
90.5,-87,6.5
90.5,-85,8.8
90.5,-85,7.5
90.5,-85,8.5
90.5,-85,8.0
90.5,-84,4.8
90.5,-84,8.0
90.5,-84,8.5
90.5,-84,8.5
90.5,-85,6.2
90.5,-85,7.5
90.5,-84,7.0
90.5,-87,8.2
90.5,-84,8.5
56.5,-111,4.0
56.5,-102,4.0
56.5,-85,4.2
56.5,-101,4.0
56.5,-109,3.5
56.5,-103,3.8
56.5,-87,2.2
56.5,-95,3.8
56.5,-99,6.2
56.5,-95,3.0
56.5,-121,7.0
56.5,-101,6.5
56.5,-115,3.8
56.5,-99,4.2
56.5,-109,3.8
56.5,-105,7.2
56.5,-99,2.0
56.5,-102,5.5
56.5,-101,2.8
56.5,-109,8.5
56.5,-101,6.0
56.5,-99,5.2
