distancia,rssi,snr
750,-103,-4.2
750,-95,-0.8
750,-111,-0.8
750,-103,4.0
750,-97,0.2
750,-103,2.5
750,-108,0.5
750,-101,-0.8
750,-79,2.5
750,-113,-5.0
750,-106,-5.2
750,-101,3.2
750,-105,0.2
750,-102,4.0
750,-113,-4.8
750,-107,-4.2
750,-107,3.0
750,-109,2.8
750,-102,2.2
750,-106,3.5
750,-107,-2.5
750,-111,0.5
750,-113,-5.8
750,-102,-2.2
750,-102,1.8
750,-102,3.5
750,-101,5.2
750,-102,0.8
750,-103,-1.8
750,-107,-0.2
750,-101,3.8
750,-89,-0.2
750,-113,-2.0
750,-100,6.0
750,-102,0.8
750,-93,0.8
750,-104,-1.5
750,-102,-2.2
750,-107,0.2
750,-103,-1.5
750,-97,2.8
750,-102,4.0
935,-101,3.8
935,-100,6.2
935,-96,5.0
935,-97,1.8
935,-99,5.5
935,-91,4.0
935,-95,5.5
935,-97,5.0
935,-96,-0.2
935,-92,8.5
935,-93,7.8
935,-96,-0.8
935,-93,4.5
935,-99,6.5
935,-106,-0.5
935,-109,-6.8
935,-99,-2.0
935,-100,4.0
935,-98,7.5
935,-95,2.0
935,-101,2.2
935,-107,4.2
935,-113,-5.0
935,-101,5.2
935,-101,4.8
935,-106,0.5
935,-104,3.0
935,-83,1.0
935,-101,1.8
935,-97,6.5
935,-99,5.8
935,-103,1.2
935,-103,-6.2
935,-114,-3.8
935,-117,-11.2
935,-106,-2.0
935,-106,-3.5
935,-109,-1.8
935,-91,4.8
2710,-113,-2.2
2710,-93,-5.2
2710,-112,-5.2
2710,-114,-3.8
2710,-113,-3.0
2710,-107,-0.2
2710,-105,-5.0
2710,-101,-9.5
2710,-115,-3.8
2710,-114,0.2
2710,-113,-3.2
2710,-111,-6.5
2710,-107,-5.2
2710,-103,-5.2
2710,-105,-4.0
2710,-113,-4.0
2710,-114,-7.2
2710,-105,-5.0
2710,-117,-2.8
2710,-107,-10.5
2710,-97,-6.2
750,-91,4.0
750,-96,-2.2
750,-94,8.2
750,-96,2.2
750,-93,8.2
750,-93,6.5
750,-99,3.2
750,-90,8.2
750,-96,4.5
750,-90,8.2
750,-94,5.2
750,-92,7.8
750,-97,-1.2
750,-97,2.5
750,-93,5.2
750,-96,7.2
750,-91,9.2
750,-95,4.0
750,-97,3.5
750,-94,7.5
750,-95,1.0
750,-93,8.8
750,-91,5.5
750,-93,8.5
750,-96,6.2
750,-95,1.0
750,-95,7.0
750,-99,3.8
750,-98,-1.0
750,-96,4.5
750,-93,8.5
750,-94,4.2
750,-91,8.0
750,-95,8.5
750,-91,6.8
750,-97,3.2
750,-96,0.2
750,-92,6.2
750,-90,2.2
750,-105,-0.5
750,-93,8.8
750,-94,7.8
750,-91,7.5
750,-97,3.2
750,-87,1.5
