distancia,rssi,snr
600,-91,4.0
600,-96,-2.2
600,-94,8.2
600,-96,2.2
600,-93,8.2
600,-93,6.5
600,-99,3.2
600,-90,8.2
600,-96,4.5
600,-90,8.2
600,-94,5.2
600,-92,7.8
600,-97,-1.2
600,-97,2.5
600,-93,5.2
600,-96,7.2
600,-91,9.2
600,-95,4.0
600,-97,3.5
600,-94,7.5
600,-95,1.0
600,-93,8.8
600,-91,5.5
600,-93,8.5
600,-96,6.2
600,-95,1.0
600,-95,7.0
600,-99,3.8
600,-98,-1.0
600,-96,4.5
600,-93,8.5
600,-94,4.2
600,-91,8.0
600,-95,8.5
600,-91,6.8
600,-97,3.2
600,-96,0.2
600,-92,6.2
600,-90,2.2
600,-105,-0.5
600,-93,8.8
600,-94,7.8
600,-91,7.5
600,-97,3.2
600,-87,1.5
1200,-95,3.5
1200,-98,5.8
1200,-96,6.5
1200,-94,7.2
1200,-99,0.8
1200,-99,4.0
1200,-96,6.5
1200,-95,5.8
1200,-96,3.5
1200,-95,8.2
1200,-96,2.8
1200,-97,-0.8
1200,-94,6.2
1200,-96,6.0
1200,-97,0.8
1200,-99,3.0
1200,-99,5.2
1200,-95,6.0
1200,-96,3.0
1200,-101,2.5
1200,-96,2.2
1200,-112,-5.5
1200,-96,3.0
1200,-96,5.2
1200,-98,2.2
1200,-97,7.0
1200,-96,2.8
1200,-85,0.5
1200,-96,5.5
1200,-94,2.8
1200,-96,6.8
1200,-95,6.5
1200,-94,6.5
1200,-99,2.8
1200,-95,3.0
1200,-96,6.5
1200,-97,4.8
1200,-94,7.8
1200,-99,1.8
1200,-96,2.2
1200,-97,3.0
1200,-94,1.2
1200,-93,8.8
1960,-78,8.5
1960,-79,9.0
1960,-78,8.8
1960,-78,7.5
1960,-80,8.2
1960,-79,8.2
1960,-80,6.0
1960,-79,8.2
1960,-78,8.5
1960,-80,4.5
1960,-78,7.8
1960,-77,9.2
1960,-81,8.5
1960,-84,7.8
1960,-81,9.5
1960,-82,8.2
1960,-78,8.2
1960,-79,8.5
1960,-77,8.5
1960,-79,6.2
1960,-79,7.2
1960,-80,7.5
1960,-78,8.2
1960,-82,7.8
1960,-78,8.8
1960,-79,7.5
1960,-77,9.2
1960,-79,8.0
1960,-79,8.8
1960,-83,7.5
1960,-79,8.8
1960,-80,6.8
1960,-82,6.5
1960,-80,9.8
1960,-80,7.5
1960,-79,9.5
1960,-81,9.5
1960,-81,8.2
1960,-81,7.5
1960,-78,6.8
2200,-94,8.2
2200,-96,7.0
2200,-93,-3.2
2200,-91,7.0
2200,-96,7.5
2200,-95,8.5
2200,-94,4.8
2200,-92,3.5
2200,-89,-5.5
2200,-92,2.5
2200,-89,4.0
2200,-99,6.8
2200,-96,8.0
2200,-97,-0.5
2200,-93,8.2
2200,-96,1.5
2200,-97,4.2
2200,-93,3.8
2200,-97,8.0
2200,-92,4.2
2200,-94,2.8
