run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues
General-0-20230605-11:37:35-36211,runattr,,,configname,General,,,,,,,,,,,
General-0-20230605-11:37:35-36211,runattr,,,datetime,20230605-11:37:35,,,,,,,,,,,
General-0-20230605-11:37:35-36211,runattr,,,datetimef,20230605-113735,,,,,,,,,,,
General-0-20230605-11:37:35-36211,runattr,,,experiment,General,,,,,,,,,,,
General-0-20230605-11:37:35-36211,runattr,,,inifile,omnetpp.ini,,,,,,,,,,,
General-0-20230605-11:37:35-36211,runattr,,,iterationvars,"$0=""LoRaPathLossOulu""",,,,,,,,,,,
General-0-20230605-11:37:35-36211,runattr,,,iterationvarsd,LoRaPathLossOulu,,,,,,,,,,,
General-0-20230605-11:37:35-36211,runattr,,,iterationvarsf,LoRaPathLossOulu-,,,,,,,,,,,
General-0-20230605-11:37:35-36211,runattr,,,measurement,"$0=""LoRaPathLossOulu""",,,,,,,,,,,
General-0-20230605-11:37:35-36211,runattr,,,network,flora.simulations.LoRaNetworkTest,,,,,,,,,,,
General-0-20230605-11:37:35-36211,runattr,,,processid,36211,,,,,,,,,,,
General-0-20230605-11:37:35-36211,runattr,,,repetition,0,,,,,,,,,,,
General-0-20230605-11:37:35-36211,runattr,,,replication,#0,,,,,,,,,,,
General-0-20230605-11:37:35-36211,runattr,,,resultdir,results,,,,,,,,,,,
General-0-20230605-11:37:35-36211,runattr,,,runnumber,0,,,,,,,,,,,
General-0-20230605-11:37:35-36211,runattr,,,seedset,0,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,image-path,../../inet4.4/images,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,network,flora.simulations.LoRaNetworkTest,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.maxTransmissionDuration,4s,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.energyDetection,-110dBm,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.vector-recording,true,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,rng-class,cMersenneTwister,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.loRaGW[*].numUdpApps,1,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.loRaGW[0].packetForwarder.localPort,2000,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.loRaGW[0].packetForwarder.destPort,1000,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.loRaGW[0].packetForwarder.destAddresses,"""networkServer""",,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.loRaGW[0].packetForwarder.indexNumber,0,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.networkServer.numApps,1,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.networkServer.**.evaluateADRinServer,false,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.networkServer.app[0].typename,NetworkServerApp,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.networkServer.app[0].destAddresses,"""loRaGW[0]""",,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.networkServer.app[0].destPort,2000,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.networkServer.app[0].localPort,1000,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.numberOfPacketsToSend,0,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,sim-time-limit,1d,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,simtime-resolution,-11,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,repeat,30,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.timeToFirstPacket,1000s,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.timeToNextPacket,1000s,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.alohaChannelModel,false,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.numberOfNodes,5,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.constraintAreaMaxX,15000m,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.constraintAreaMaxY,15000m,,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.loRaNodes[*].**.initialX,"int(uniform(201m, 6000m))",,,,,,,,,,,
General-0-20230605-11:37:35-36211,config,,,**.loRaNodes[*].**.initialY,"int(uniform(201m, 3500m))",,,,,,,,,,,
