run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues
General-0-20230620-00:46:10-46089,runattr,,,configname,General,,,,,,,,,,,
General-0-20230620-00:46:10-46089,runattr,,,datetime,20230620-00:46:10,,,,,,,,,,,
General-0-20230620-00:46:10-46089,runattr,,,datetimef,20230620-004610,,,,,,,,,,,
General-0-20230620-00:46:10-46089,runattr,,,experiment,General,,,,,,,,,,,
General-0-20230620-00:46:10-46089,runattr,,,inifile,omnetpp.ini,,,,,,,,,,,
General-0-20230620-00:46:10-46089,runattr,,,iterationvars,"$0=""avg""",,,,,,,,,,,
General-0-20230620-00:46:10-46089,runattr,,,iterationvarsd,avg,,,,,,,,,,,
General-0-20230620-00:46:10-46089,runattr,,,iterationvarsf,avg-,,,,,,,,,,,
General-0-20230620-00:46:10-46089,runattr,,,measurement,"$0=""avg""",,,,,,,,,,,
General-0-20230620-00:46:10-46089,runattr,,,network,flora.simulations.LoRaNetworkTest,,,,,,,,,,,
General-0-20230620-00:46:10-46089,runattr,,,processid,46089,,,,,,,,,,,
General-0-20230620-00:46:10-46089,runattr,,,repetition,0,,,,,,,,,,,
General-0-20230620-00:46:10-46089,runattr,,,replication,#0,,,,,,,,,,,
General-0-20230620-00:46:10-46089,runattr,,,resultdir,results,,,,,,,,,,,
General-0-20230620-00:46:10-46089,runattr,,,runnumber,0,,,,,,,,,,,
General-0-20230620-00:46:10-46089,runattr,,,seedset,0,,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,image-path,../../inet4.4/images,,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,network,flora.simulations.LoRaNetworkTest,,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,**.maxTransmissionDuration,4s,,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,**.energyDetection,-110dBm,,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,**.sensitivity,-117dBm,,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,**.vector-recording,true,,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,rng-class,cMersenneTwister,,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,**.loRaGW[*].numUdpApps,1,,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,**.loRaGW[0].packetForwarder.localPort,2000,,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,**.loRaGW[0].packetForwarder.destPort,1000,,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,**.loRaGW[0].packetForwarder.destAddresses,"""networkServer""",,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,**.loRaGW[0].packetForwarder.indexNumber,0,,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,**.networkServer.numApps,1,,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,**.networkServer.**.evaluateADRinServer,false,,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,**.networkServer.app[0].typename,NetworkServerApp,,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,**.networkServer.app[0].destAddresses,"""loRaGW[0]""",,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,**.networkServer.app[0].destPort,2000,,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,**.networkServer.app[0].localPort,1000,,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,**.networkServer.app[0].adrMethod,"""avg""",,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,**.numberOfPacketsToSend,0,,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,sim-time-limit,1d,,,,,,,,,,,
General-0-20230620-00:46:10-46089,config,,,simtime-resolution,-11,,,,,,,,,,,
