run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues
General-0-20230416-23:12:58-12198,runattr,,,configname,General,,,,,,,,,,,
General-0-20230416-23:12:58-12198,runattr,,,datetime,20230416-23:12:58,,,,,,,,,,,
General-0-20230416-23:12:58-12198,runattr,,,datetimef,20230416-231258,,,,,,,,,,,
General-0-20230416-23:12:58-12198,runattr,,,experiment,General,,,,,,,,,,,
General-0-20230416-23:12:58-12198,runattr,,,inifile,omnetpp.ini,,,,,,,,,,,
General-0-20230416-23:12:58-12198,runattr,,,iterationvars,"$0=""avg""",,,,,,,,,,,
General-0-20230416-23:12:58-12198,runattr,,,iterationvarsd,avg,,,,,,,,,,,
General-0-20230416-23:12:58-12198,runattr,,,iterationvarsf,avg-,,,,,,,,,,,
General-0-20230416-23:12:58-12198,runattr,,,measurement,"$0=""avg""",,,,,,,,,,,
General-0-20230416-23:12:58-12198,runattr,,,network,flora.simulations.LoRaNetworkTest,,,,,,,,,,,
General-0-20230416-23:12:58-12198,runattr,,,processid,12198,,,,,,,,,,,
General-0-20230416-23:12:58-12198,runattr,,,repetition,0,,,,,,,,,,,
General-0-20230416-23:12:58-12198,runattr,,,replication,#0,,,,,,,,,,,
General-0-20230416-23:12:58-12198,runattr,,,resultdir,results,,,,,,,,,,,
General-0-20230416-23:12:58-12198,runattr,,,runnumber,0,,,,,,,,,,,
General-0-20230416-23:12:58-12198,runattr,,,seedset,0,,,,,,,,,,,
General-0-20230416-23:12:58-12198,config,,,image-path,../../inet4.4/images,,,,,,,,,,,
General-0-20230416-23:12:58-12198,config,,,network,flora.simulations.LoRaNetworkTest,,,,,,,,,,,
General-0-20230416-23:12:58-12198,config,,,**.maxTransmissionDuration,4s,,,,,,,,,,,
General-0-20230416-23:12:58-12198,config,,,**.energyDetection,-110dBm,,,,,,,,,,,
General-0-20230416-23:12:58-12198,config,,,**.vector-recording,true,,,,,,,,,,,
General-0-20230416-23:12:58-12198,config,,,rng-class,cMersenneTwister,,,,,,,,,,,
General-0-20230416-23:12:58-12198,config,,,**.loRaGW[*].numUdpApps,1,,,,,,,,,,,
General-0-20230416-23:12:58-12198,config,,,**.loRaGW[0].packetForwarder.localPort,2000,,,,,,,,,,,
General-0-20230416-23:12:58-12198,config,,,**.loRaGW[0].packetForwarder.destPort,1000,,,,,,,,,,,
General-0-20230416-23:12:58-12198,config,,,**.loRaGW[0].packetForwarder.destAddresses,"""networkServer""",,,,,,,,,,,
General-0-20230416-23:12:58-12198,config,,,**.loRaGW[0].packetForwarder.indexNumber,0,,,,,,,,,,,
General-0-20230416-23:12:58-12198,config,,,**.networkServer.numApps,1,,,,,,,,,,,
